EISN|Shannon ACC - Shannon||EISN
EISN-L|Shannon ACC (Up to FL245) - Shannon|EISN_LS|EISN-L
EKDK|Kobenhavn||EKDK
EKDK-E|Kobenhavn (East)|EKDK_E|EKDK-E
EKDK-E|Kobenhavn (East)|EKDK_D|EKDK-E
EKDK-E|Kobenhavn (East)|EKDK_I|EKDK-E
EKDK-E|Kobenhavn (East)|EKDK_B|EKDK-E
EKDK-E|Kobenhavn (East)|EKDK_C|EKDK-E
EKDK-E|Kobenhavn (East)|EKDK_A|EKDK-E
EKDK-E|Kobenhavn (East)|EKDK_OE|EKDK-E
EKDK-W|Kobenhavn (West)|EKDK_V|EKDK-W
EKDK-W|Kobenhavn (West)|EKDK_N|EKDK-W
EKDK-W|Kobenhavn (West)|EKDK_L|EKDK-W
EKDK-W|Kobenhavn (West)|EKDK_S|EKDK-W
EKDK-UN|Kobenhavn (Sector UN)|EKDK_UN|EKDK-UN
ENBD|Bodo ACC - Polaris||ENBD
ENBD-E|Bodø ACC (East) - Polaris|ENBD_E|ENBD-E
ENBD-E|Bodø ACC (East) - Polaris|ENBD_26|ENBD-E
ENBD-C|Bodø ACC (Central) - Polaris|ENBD_C|ENBD-C
ENBD-C|Bodø ACC (Central) - Polaris|ENBD_24|ENBD-C
ENBD-S|Bodø ACC (South) - Polaris|ENBD_S|ENBD-S
ENBD-S|Bodø ACC (South) - Polaris|ENBD_18|ENBD-S
ENBD-19|Bodø ACC - Polaris|ENBD_19|ENBD-19
ENOB|Bodo Oceanic||ENOB
ENOR|Polaris||ENOR
ENOR-SC|Polaris (South-Central)|ENOR_SC|ENOR-SC
ENOR-S|Polaris (South)|ENOR_S|ENOR-S
ENOS|Oslo ACC - Polaris||ENOS
ENOS-1|Oslo ACC (Sector 1) - Polaris|ENOS_1|ENOS-1
ENOS-4|Oslo ACC (Sector 4) - Polaris|ENOS_4|ENOS-4
ENOS-7|Oslo ACC (Sector 7) - Polaris|ENOS_7|ENOS-7
ENOS-8|Oslo ACC (Sector 8) - Polaris|ENOS_8|ENOS-8
ENRC-N|Bodo RTC North|ENRC_N|ENBD
ENRC-S|Bodo RTC South|ENRC_S|ENOR-S
ENSV|Stavanger ACC - Polaris||ENSV
ENSV-W|Stavanger ACC (West) - Polaris|ENSV_W|ENSV-W
ENSV-W|Stavanger ACC (West) - Polaris|ENSV_10|ENSV-W
ENSV-E|Stavanger ACC (East) - Polaris|ENSV_E|ENSV-E
ENSV-E|Stavanger ACC (East) - Polaris|ENSV_13|ENSV-E
ENSV-O|Stavanger Offshore ACC (Below FL85) - Polaris|ENSV_O|ENSV-O
